Nr.;BLZ;Institut;Ort;RZ;Organisation;HBCI-Zugang DNS;HBCI- Zugang     IP-Adresse;HBCI-Version;DDV;RDH-1;RDH-2;RDH-3;RDH-4;RDH-5;RDH-6;RDH-7;RDH-8;RDH-9;RDH-10;PIN/TAN-Zugang URL;Version;Datum letzte Änderung;;;;;
3522;72051840;Sparkasse Günzburg-Krumbach;Günzburg-Krumbach;Finanz Informatik GmbH & Co. KG (Bayern);DSGV;i037.by.s-hbci.de;;2.2;ja;;;;;;;;;;;https://hbci-pintan-by.s-hbci.de/PinTanServlet;HBCI 2.2 Erweiterung PIN/TAN V1.01;07.10.2007;;;;;
3523;72060300;Handels- und Gewerbebank Augsburg -alt-;Augsburg, Bay;FIDUCIA IT AG;BVR;hbci01.fiducia.de;;3.0;;;;ja;;;;ja;;ja;ja;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
3524;72062152;VR-Bank Lech-Zusam;Gersthofen;FIDUCIA IT AG;BVR;hbci01.fiducia.de;;3.0;;;;ja;;;;ja;;ja;ja;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
3525;72069002;Raiffeisenbank Adelzhausen-Sielenbach;Adelzhausen;FIDUCIA IT AG;BVR;hbci01.fiducia.de;;3.0;;;;ja;;;;ja;;ja;ja;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
3526;72069005;Raiffeisenbank;Aindling;FIDUCIA IT AG;BVR;hbci01.fiducia.de;;3.0;;;;ja;;;;ja;;ja;ja;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
3527;72069034;Raiffeisenbank Bissingen;Bissingen, Schwab;FIDUCIA IT AG;BVR;hbci01.fiducia.de;;3.0;;;;ja;;;;ja;;ja;ja;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
3528;72069036;Raiffeisenbank;Bobingen;FIDUCIA IT AG;BVR;hbci01.fiducia.de;;3.0;;;;ja;;;;ja;;ja;ja;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
3529;72069043;Raiffeisenbank;Burgau, Schwab;FIDUCIA IT AG;BVR;hbci01.fiducia.de;;3.0;;;;ja;;;;ja;;ja;ja;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
3530;72069081;Raiffeisenbank Gersthofen -alt-;Gersthofen;FIDUCIA IT AG;BVR;hbci01.fiducia.de;;3.0;;;;ja;;;;ja;;ja;ja;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
3531;72069090;Raiffeisenbank;Kötz;FIDUCIA IT AG;BVR;hbci01.fiducia.de;;3.0;;;;ja;;;;ja;;ja;ja;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
3532;72069105;Raiffeisenbank;Hiltenfingen;FIDUCIA IT AG;BVR;hbci01.fiducia.de;;3.0;;;;ja;;;;ja;;ja;ja;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
3533;72069108;Raiffeisenbank Höchstädt u. U. -alt-;Höchstädt a.d.Donau;FIDUCIA IT AG;BVR;hbci01.fiducia.de;;3.0;;;;ja;;;;ja;;ja;ja;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
3534;72069113;Raiffeisenbank Aschberg;Holzheim, Kr Dillingen a d Donau;FIDUCIA IT AG;BVR;hbci01.fiducia.de;;3.0;;;;ja;;;;ja;;ja;ja;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
3535;72069114;Raiffeisenbank;Holzheim b Neu-Ulm;FIDUCIA IT AG;BVR;hbci01.fiducia.de;;3.0;;;;ja;;;;ja;;ja;ja;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
3536;72069116;Raiffeisenbank Horgau -alt-;Horgau;FIDUCIA IT AG;BVR;hbci01.fiducia.de;;3.0;;;;ja;;;;ja;;ja;ja;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
3537;72069119;Raiffeisenbank;Ichenhausen;FIDUCIA IT AG;BVR;hbci01.fiducia.de;;3.0;;;;ja;;;;ja;;ja;ja;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
3538;72069121;Raiffeisenbank -alt-;Inchenhofen;FIDUCIA IT AG;BVR;hbci01.fiducia.de;;3.0;;;;ja;;;;ja;;ja;ja;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
3539;72069123;Raiffeisenbank Jettingen-Scheppach;Jettingen-Scheppach;FIDUCIA IT AG;BVR;hbci01.fiducia.de;;3.0;;;;ja;;;;ja;;ja;ja;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
3540;72069126;Raiffeisenbank Bibertal-Kötz;Bibertal, Schwab;FIDUCIA IT AG;BVR;hbci01.fiducia.de;;3.0;;;;ja;;;;ja;;ja;ja;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
3541;72069132;Raiffeisenbank Krumbach/Schwaben;Krumbach (Schwaben);FIDUCIA IT AG;BVR;hbci01.fiducia.de;;3.0;;;;ja;;;;ja;;ja;ja;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
3542;72069135;Raiffeisenbank Stauden;Langenneufnach;FIDUCIA IT AG;BVR;hbci01.fiducia.de;;3.0;;;;ja;;;;ja;;ja;ja;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
3543;72069138;Raiffeisenbank Langerringen;Langerringen;FIDUCIA IT AG;BVR;hbci01.fiducia.de;;3.0;;;;ja;;;;ja;;ja;ja;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
3544;72069139;Raiffeisenbank Langweid-Achsheim;Langweid a. Lech;FIDUCIA IT AG;BVR;hbci01.fiducia.de;;3.0;;;;ja;;;;ja;;ja;ja;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
3545;72069141;Raiffeisenbank -alt-;Emersacker;FIDUCIA IT AG;BVR;hbci01.fiducia.de;;3.0;;;;ja;;;;ja;;ja;ja;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
3546;72069155;Raiffeisenbank Kissing-Mering;Mering, Schwab;FIDUCIA IT AG;BVR;hbci01.fiducia.de;;3.0;;;;ja;;;;ja;;ja;ja;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
3547;72069168;Vereinigte Raiffeisenbank in Niederraunau -alt-;Krumbach (Schwaben);FIDUCIA IT AG;BVR;hbci01.fiducia.de;;3.0;;;;ja;;;;ja;;ja;ja;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
3548;72069179;Raiffeisenbank Unteres Zusamtal;Buttenwiesen;FIDUCIA IT AG;BVR;hbci01.fiducia.de;;3.0;;;;ja;;;;ja;;ja;ja;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
3549;72069181;Raiffeisenbank;Offingen, Donau;FIDUCIA IT AG;BVR;hbci01.fiducia.de;;3.0;;;;ja;;;;ja;;ja;ja;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
3550;72069193;Raiffeisenbank;Rehling;FIDUCIA IT AG;BVR;hbci01.fiducia.de;;3.0;;;;ja;;;;ja;;ja;ja;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
3551;72069209;Raiffeisenbank;Roggenburg, Schwab;FIDUCIA IT AG;BVR;hbci01.fiducia.de;;3.0;;;;ja;;;;ja;;ja;ja;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
3552;72069220;Raiffeisenbank;Schwabmünchen;FIDUCIA IT AG;BVR;hbci01.fiducia.de;;3.0;;;;ja;;;;ja;;ja;ja;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
3553;72069233;Raiffeisenbank Thalfingen;Elchingen, Donau;FIDUCIA IT AG;BVR;hbci01.fiducia.de;;3.0;;;;ja;;;;ja;;ja;ja;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
3554;72069235;Raiffeisenbank;Thannhausen, Schwab;FIDUCIA IT AG;BVR;hbci01.fiducia.de;;3.0;;;;ja;;;;ja;;ja;ja;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
3555;72069263;Raiffeisenbank Wittislingen;Wittislingen;FIDUCIA IT AG;BVR;hbci01.fiducia.de;;3.0;;;;ja;;;;ja;;ja;ja;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
3556;72069274;Raiffeisenbank Augsburger Land West;Zusmarshausen;FIDUCIA IT AG;BVR;hbci01.fiducia.de;;3.0;;;;ja;;;;ja;;ja;ja;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
3557;72069308;Raiffeisen-Volksbank Wemding;Wemding;FIDUCIA IT AG;BVR;hbci01.fiducia.de;;3.0;;;;ja;;;;ja;;ja;ja;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
3558;72069325;Raiffeisenbank Möttingen -alt-;Möttingen;FIDUCIA IT AG;BVR;hbci01.fiducia.de;;3.0;;;;ja;;;;ja;;ja;ja;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
3559;72069329;Raiffeisen-Volksbank Ries;Nördlingen;FIDUCIA IT AG;BVR;hbci01.fiducia.de;;3.0;;;;ja;;;;ja;;ja;ja;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
3560;72069330;Raiffeisenbank Oberes Kesseltal -alt-;Forheim;FIDUCIA IT AG;BVR;hbci01.fiducia.de;;3.0;;;;ja;;;;ja;;ja;ja;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
3561;72069736;Raiffeisenbank Iller-Roth-Günz;Bellenberg, Schwab;FIDUCIA IT AG;BVR;hbci01.fiducia.de;;3.0;;;;ja;;;;ja;;ja;ja;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
3562;72069742;Raiffeisenbank Echsheim -alt-;Pöttmes;FIDUCIA IT AG;BVR;hbci01.fiducia.de;;3.0;;;;ja;;;;ja;;ja;ja;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
3563;72069748;RAIFFEISENBANK HOLZHEIM-MUENSTER -alt-;HOLZHEIM b. RAIN, LECH;FIDUCIA IT AG;BVR;hbci01.fiducia.de;;3.0;;;;ja;;;;ja;;ja;ja;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
3564;72069789;Raiffeisenbank Pfaffenhausen;Pfaffenhausen, Schwab;FIDUCIA IT AG;BVR;hbci01.fiducia.de;;3.0;;;;ja;;;;ja;;ja;ja;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
3565;72070001;Deutsche Bank AG;Augsburg, Bay;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
3566;72070001;Deutsche Bank AG;Königsbrunn b Augsburg;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
3567;72070001;Deutsche Bank AG;Gersthofen;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
3568;72070001;Deutsche Bank AG;Bad Wörishofen;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
3569;72070001;Deutsche Bank AG;Günzburg;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
3570;72070001;Deutsche Bank AG;Dillingen a d Donau;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
3571;72070001;Deutsche Bank AG;Donauwörth;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
3572;72070024;Deutsche Bank Privat und Geschäftskunden AG;Augsburg, Bay;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
3573;72070024;Deutsche Bank Privat und Geschäftskunden AG;Bad Wörishofen;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
3574;72070024;Deutsche Bank Privat und Geschäftskunden AG;Dillingen a d Donau;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
3575;72070024;Deutsche Bank Privat und Geschäftskunden AG;Donauwörth;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
3576;72070024;Deutsche Bank Privat und Geschäftskunden AG;Gersthofen;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
3577;72070024;Deutsche Bank Privat und Geschäftskunden AG;Günzburg;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
3578;72070024;Deutsche Bank Privat und Geschäftskunden AG;Königsbrunn b Augsburg;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
3579;72080001;Dresdner Bank;Augsburg;eigenes Rechenzentrum;BdB;hbci.dresdner-bank.de;193.194.7.124;3.0;;ja;ja;;;ja;;;;;;https://hbci.dresdner-bank.de;FinTS V3.0;26.09.2008;;;;;
3580;72080001;Dresdner Bank;Gersthofen;eigenes Rechenzentrum;BdB;hbci.dresdner-bank.de;193.194.7.124;3.0;;ja;ja;;;ja;;;;;;https://hbci.dresdner-bank.de;FinTS V3.0;26.09.2008;;;;;
3581;72090000;Augusta-Bank Raiffeisen-Volksbank;Augsburg, Bay;FIDUCIA IT AG;BVR;hbci01.fiducia.de;;3.0;;;;ja;;;;ja;;ja;ja;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
3582;72090300;Liga Spar und Kreditgenossenschaft Regensburg Filiale Augsburg;Augsburg;FIDUCIA IT AG;BVR;hbci01.fiducia.de;;3.0;;;;ja;;;;ja;;ja;ja;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
3583;72090500;Sparda-Bank Augsburg eG;Augsburg;Sparda-Datenverarbeitung eG;BVR;;;;;;;;;;;;;;;https://www.bankingonline.de/hbci/pintan/PinTanServlet;HBCI 2.2 Erweiterung PIN/TAN V1.01;27.01.2011;;;;;
3584;72090900;PSD Bank München;Augsburg, Bay;FIDUCIA IT AG;BVR;hbci01.fiducia.de;;3.0;;;;ja;;;;ja;;ja;ja;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
3585;72091800;Volksbank Günzburg;Günzburg;FIDUCIA IT AG;BVR;hbci01.fiducia.de;;3.0;;;;ja;;;;ja;;ja;ja;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
3586;72120078;Bayerische Hypo- und Vereinsbank AG - HVB;Mainburg;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;ja;;ja;;;;;;;;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;03.08.2005;;;;;
3587;72120078;Bayerische Hypo- und Vereinsbank AG - HVB;Wolnzach;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;ja;;ja;;;;;;;;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;03.08.2005;;;;;
3588;72120078;Bayerische Hypo- und Vereinsbank AG - HVB;Ingolstadt, Donau;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;ja;;ja;;;;;;;;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;03.08.2005;;;;;
3589;72120078;Bayerische Hypo- und Vereinsbank AG - HVB;Eichstätt, Bay;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;ja;;ja;;;;;;;;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;03.08.2005;;;;;
3590;72120078;Bayerische Hypo- und Vereinsbank AG - HVB;Geisenfeld;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;ja;;ja;;;;;;;;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;03.08.2005;;;;;
3591;72120078;Bayerische Hypo- und Vereinsbank AG - HVB;Pfaffenhofen a d Ilm;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;ja;;ja;;;;;;;;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;03.08.2005;;;;;
3592;72120078;Bayerische Hypo- und Vereinsbank AG - HVB;Schrobenhausen;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;ja;;ja;;;;;;;;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;03.08.2005;;;;;
3593;72120078;Bayerische Hypo- und Vereinsbank AG - HVB;Vohburg a d Donau;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;ja;;ja;;;;;;;;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;03.08.2005;;;;;
3594;72120078;Bayerische Hypo- und Vereinsbank AG - HVB;Au i.d.Hallertau;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;ja;;ja;;;;;;;;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;03.08.2005;;;;;
3595;72120078;Bayerische Hypo- und Vereinsbank AG - HVB;Beilngries;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;ja;;ja;;;;;;;;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;03.08.2005;;;;;
3596;72122181;Bayerische Hypo- und Vereinsbank AG - HVB;Neuburg a d Donau;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;ja;;ja;;;;;;;;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;03.08.2005;;;;;
3597;72140052;Commerzbank;Ingolstadt;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;15.11.2010;;;;;
3598;72150000;Sparkasse Ingolstadt;Ingolstadt;Finanz Informatik GmbH & Co. KG (Bayern);DSGV;i125.by.s-hbci.de;;2.2;ja;;;;;;;;;;;https://hbci-pintan-by.s-hbci.de/PinTanServlet;HBCI 2.2 Erweiterung PIN/TAN V1.01;21.09.2008;;;;;
3599;72151340;Sparkasse Eichstätt;Eichstätt;Finanz Informatik GmbH & Co. KG (Bayern);DSGV;i046.by.s-hbci.de;;2.2;ja;;;;;;;;;;;https://hbci-pintan-by.s-hbci.de/PinTanServlet;HBCI 2.2 Erweiterung PIN/TAN V1.01;23.09.2007;;;;;
3600;72151650;Vereinigte Sparkasse d. Ldkr. Pfaffenhofen;Pfaffenhofen;Finanz Informatik GmbH & Co. KG (Bayern);DSGV;i102.by.s-hbci.de;;2.2;ja;;;;;;;;;;;https://hbci-pintan-by.s-hbci.de/PinTanServlet;HBCI 2.2 Erweiterung PIN/TAN V1.01;07.10.2007;;;;;
3601;72151880;Stadtsparkasse Schrobenhausen;Schrobenhausen;Finanz Informatik GmbH & Co. KG (Bayern);DSGV;i109.by.s-hbci.de;;2.2;ja;;;;;;;;;;;https://hbci-pintan-by.s-hbci.de/PinTanServlet;HBCI 2.2 Erweiterung PIN/TAN V1.01;18.05.2008;;;;;
3602;72152070;Sparkasse Neuburg-Rain;Neuburg ;Finanz Informatik GmbH & Co. KG (Bayern);DSGV;i081.by.s-hbci.de;;2.2;ja;;;;;;;;;;;https://hbci-pintan-by.s-hbci.de/PinTanServlet;HBCI 2.2 Erweiterung PIN/TAN V1.01;09.03.2008;;;;;
3603;72160818;Raiffeisenbk Ingolstadt-Pfaffenhofen-Eichstätt;Ingolstadt, Donau;FIDUCIA IT AG;BVR;hbci01.fiducia.de;;3.0;;;;ja;;;;ja;;ja;ja;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
3604;72169013;Raiffeisenbank Aresing-Hörzhausen-Schiltberg;Aresing, Oberbay;FIDUCIA IT AG;BVR;hbci01.fiducia.de;;3.0;;;;ja;;;;ja;;ja;ja;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
3605;72169080;Raiffeisenbank Gerolsbach;Gerolsbach;FIDUCIA IT AG;BVR;hbci01.fiducia.de;;3.0;;;;ja;;;;ja;;ja;ja;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
3606;72169111;Raiffeisenbank Hohenwart -alt-;Hohenwart, Paar;FIDUCIA IT AG;BVR;hbci01.fiducia.de;;3.0;;;;ja;;;;ja;;ja;ja;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
3607;72169218;Raiffeisenbank Schrobenhausen;Schrobenhausen;FIDUCIA IT AG;BVR;hbci01.fiducia.de;;3.0;;;;ja;;;;ja;;ja;ja;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
3608;72169246;Raiffeisenbank Schrobenhausener Land;Langenmosen;FIDUCIA IT AG;BVR;hbci01.fiducia.de;;3.0;;;;ja;;;;ja;;ja;ja;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
3609;72169380;Raiffeisenbank Beilngries;Beilngries;FIDUCIA IT AG;BVR;hbci01.fiducia.de;;3.0;;;;ja;;;;ja;;ja;ja;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
3610;72169733;Raiffeisenbank Berg im Gau-Langenmosen -alt-;Langenmosen;FIDUCIA IT AG;BVR;hbci01.fiducia.de;;3.0;;;;ja;;;;ja;;ja;ja;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
3611;72169745;Raiffeisenbank Ehekirchen-Oberhausen;Ehekirchen, Oberbay;FIDUCIA IT AG;BVR;hbci01.fiducia.de;;3.0;;;;ja;;;;ja;;ja;ja;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
3612;72169753;Raiffeisenbank Ober-Unterhausen-Sinning -alt-;Oberhausen b Neuburg a d Donau;FIDUCIA IT AG;BVR;hbci01.fiducia.de;;3.0;;;;ja;;;;ja;;ja;ja;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
3613;72169756;Raiffeisen-Volksbank Neuburg/Donau;Neuburg a.d.Donau;FIDUCIA IT AG;BVR;hbci01.fiducia.de;;3.0;;;;ja;;;;ja;;ja;ja;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
3614;72169764;Raiffeisenbank Donaumooser Land;Karlshuld;FIDUCIA IT AG;BVR;hbci01.fiducia.de;;3.0;;;;ja;;;;ja;;ja;ja;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
3615;72169812;Raiffeisenbank Gaimersheim-Buxheim;Gaimersheim;FIDUCIA IT AG;BVR;hbci01.fiducia.de;;3.0;;;;ja;;;;ja;;ja;ja;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
3616;72169831;Raiffeisenbank Riedenburg-Lobsing;Riedenburg, Altmühltal;FIDUCIA IT AG;BVR;hbci01.fiducia.de;;3.0;;;;ja;;;;ja;;ja;ja;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
3617;72170007;Deutsche Bank AG;Ingolstadt, Donau;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
3618;72170007;Deutsche Bank AG;Vohburg a d Donau;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
3619;72170007;Deutsche Bank AG;Neuburg a d Donau;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
3620;72170007;Deutsche Bank AG;Pfaffenhofen a d Ilm;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
3621;72170024;Deutsche Bank Privat und Geschäftskunden AG;Ingolstadt, Donau;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
3622;72170024;Deutsche Bank Privat und Geschäftskunden AG;Neuburg a d Donau;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
3623;72170024;Deutsche Bank Privat und Geschäftskunden AG;Pfaffenhofen a d Ilm;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
3624;72170024;Deutsche Bank Privat und Geschäftskunden AG;Vohburg a d Donau;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
3625;72180002;Dresdner Bank;Ingolstadt;eigenes Rechenzentrum;BdB;hbci.dresdner-bank.de;193.194.7.124;3.0;;ja;ja;;;ja;;;;;;https://hbci.dresdner-bank.de;FinTS V3.0;26.09.2008;;;;;
